tsolve,alg,nvars,seed,runseed
25,UEDA,7,2,4
11,GR,7,2,4
14,RS,7,2,4
24,UEDA,7,2,5
5,GR,7,2,5
16,RS,7,2,5
166,UEDA,7,2,6
22,GR,7,2,6
27,RS,7,2,6
12,UEDA,7,2,7
17,GR,7,2,7
10,RS,7,2,7
60,UEDA,7,2,8
8,GR,7,2,8
141,RS,7,2,8
NA,UEDA,7,2,9
5,GR,7,2,9
56,RS,7,2,9
80,UEDA,7,2,10
11,GR,7,2,10
55,RS,7,2,10
28,UEDA,7,3,1
20,GR,7,3,1
35,RS,7,3,1
37,UEDA,7,3,2
9,GR,7,3,2
4,RS,7,3,2
14,UEDA,7,3,3
9,GR,7,3,3
14,RS,7,3,3
35,UEDA,7,3,4
5,GR,7,3,4
29,RS,7,3,4
10,UEDA,7,3,5
14,GR,7,3,5
64,RS,7,3,5
36,UEDA,7,3,6
5,GR,7,3,6
147,RS,7,3,6
100,UEDA,7,3,7
9,GR,7,3,7
199,RS,7,3,7
76,UEDA,7,3,8
10,GR,7,3,8
6,RS,7,3,8
13,UEDA,7,3,9
5,GR,7,3,9
22,RS,7,3,9
49,UEDA,7,3,10
13,GR,7,3,10
87,RS,7,3,10
16,UEDA,7,4,1
23,GR,7,4,1
168,RS,7,4,1
17,UEDA,7,4,2
15,GR,7,4,2
52,RS,7,4,2
35,UEDA,7,4,3
13,GR,7,4,3
96,RS,7,4,3
7,UEDA,7,4,4
15,GR,7,4,4
78,RS,7,4,4
108,UEDA,7,4,5
18,GR,7,4,5
25,RS,7,4,5
106,UEDA,7,4,6
22,GR,7,4,6
131,RS,7,4,6
1,UEDA,7,4,7
20,GR,7,4,7
1,RS,7,4,7
48,UEDA,7,4,8
17,GR,7,4,8
51,RS,7,4,8
38,UEDA,7,4,9
13,GR,7,4,9
50,RS,7,4,9
106,UEDA,7,4,10
5,GR,7,4,10
30,RS,7,4,10
29,UEDA,7,5,1
14,GR,7,5,1
36,RS,7,5,1
22,UEDA,7,5,2
7,GR,7,5,2
18,RS,7,5,2
35,UEDA,7,5,3
3,GR,7,5,3
15,RS,7,5,3
13,UEDA,7,5,4
15,GR,7,5,4
32,RS,7,5,4
4,UEDA,7,5,5
